"Tarih","ToplamÝþlemHacmi"
"30-01-2013",4700504.82
"31-01-2013",3967788.91
"01-02-2013",3310330.87
"04-02-2013",3289917.18
"05-02-2013",3037584.94
"06-02-2013",3136207.1
"07-02-2013",3810998.69
"08-02-2013",4001622.62
"11-02-2013",2924387.42
"12-02-2013",3397181.3
"13-02-2013",3371206.24
"14-02-2013",3344155.3
"15-02-2013",3220524.7
"18-02-2013",2643176.79
"19-02-2013",2910276.41
"20-02-2013",2791448.69
"21-02-2013",3167202.4
"22-02-2013",3134650.03
"25-02-2013",2478538.59
"26-02-2013",3012984.64
"27-02-2013",3080000.09
"28-02-2013",3094534.77
"01-03-2013",3232251.82
"04-03-2013",2944287.83
"05-03-2013",3108457.79
"06-03-2013",3593029.32
"07-03-2013",3673893.43
"08-03-2013",3786113.83
"11-03-2013",2793468.74
"12-03-2013",2649806.13
"13-03-2013",2761619.25
"14-03-2013",2419155.92
"15-03-2013",3132193.55
"18-03-2013",2499962.04
"19-03-2013",2829678.56
"20-03-2013",2422298.76
"21-03-2013",3034905.37
"22-03-2013",2283261.84
"25-03-2013",2372037.39
"26-03-2013",2982587.59
"27-03-2013",2993647.74
"28-03-2013",3456311.54
"29-03-2013",2215721.32
"01-04-2013",2207388.89
"02-04-2013",3048037.38
"03-04-2013",3025530.09
"04-04-2013",2980825.57
"05-04-2013",2981671.95
"08-04-2013",2716163.53
"09-04-2013",3116612.1
"10-04-2013",2729264.01
"11-04-2013",3137376.73
"12-04-2013",2887373.84
"15-04-2013",3181825.26
"16-04-2013",4104372.84
"17-04-2013",3234748.09
"18-04-2013",2817718.98
"19-04-2013",2615360.72
"22-04-2013",2029896.65
"24-04-2013",3022448.85
"25-04-2013",2855739.3
"26-04-2013",2437008.83
"29-04-2013",2343075.48
"30-04-2013",3669566.32
"02-05-2013",3975465.77
"03-05-2013",4115797.35
"06-05-2013",2737443.62
"07-05-2013",3517908.01
"08-05-2013",3823875.49
"09-05-2013",3589186.57
"10-05-2013",3091673.03
"13-05-2013",2981389.37
"14-05-2013",3042442.27
"15-05-2013",3521975.58
"16-05-2013",3553759.09
"17-05-2013",3878394.64
"20-05-2013",3281830.28
"21-05-2013",3505155.99
"22-05-2013",3896810.16
"23-05-2013",3699743.13
"24-05-2013",3664164.37
