"Tarih","Endeks","Kapanýþ"
"2020-02-04","Sýnai",147888.1
"2020-02-05","Sýnai",148118.9
"2020-02-06","Sýnai",148369.6
"2020-02-07","Sýnai",147530.95
"2020-02-10","Sýnai",144125.4
"2020-02-11","Sýnai",146163.91
"2020-02-12","Sýnai",146741.37
"2020-02-13","Sýnai",147759.81
"2020-02-14","Sýnai",146943.93
"2020-02-17","Sýnai",147653.14
"2020-02-18","Sýnai",145803.08
"2020-02-19","Sýnai",145561.44
"2020-02-20","Sýnai",141468.63
"2020-02-21","Sýnai",144037.82
"2020-02-24","Sýnai",142588.99
"2020-02-25","Sýnai",142644.54
"2020-02-26","Sýnai",143900.26
"2020-02-27","Sýnai",138136.45
"2020-02-28","Sýnai",133466.65
"2020-03-02","Sýnai",135515.1
"2020-03-03","Sýnai",138271.14
"2020-03-04","Sýnai",135886.82
"2020-03-05","Sýnai",137172.05
"2020-03-06","Sýnai",134949.76
"2020-03-09","Sýnai",127078.16
"2020-03-10","Sýnai",123436.29
"2020-03-11","Sýnai",120919.86
"2020-03-12","Sýnai",112053.46
"2020-03-13","Sýnai",113976.39
"2020-03-16","Sýnai",104470.95
"2020-03-17","Sýnai",100385.39
"2020-03-18","Sýnai",98836.9
"2020-03-19","Sýnai",98935.45
"2020-03-20","Sýnai",101108.11
"2020-03-23","Sýnai",99348.13
"2020-03-24","Sýnai",105782.76
"2020-03-25","Sýnai",106513.18
"2020-03-26","Sýnai",108833.21
"2020-03-27","Sýnai",105449.49
"2020-03-30","Sýnai",105957.6
"2020-03-31","Sýnai",108215.52
"2020-04-01","Sýnai",109278.23
"2020-04-02","Sýnai",110714.73
"2020-04-03","Sýnai",111531.18
"2020-04-06","Sýnai",115245.16
"2020-04-07","Sýnai",116120.98
"2020-04-08","Sýnai",116618.52
"2020-04-09","Sýnai",118767.84
"2020-04-10","Sýnai",118815.69
"2020-04-13","Sýnai",118712.27
"2020-04-14","Sýnai",121617.31
"2020-04-15","Sýnai",119192.66
"2020-04-16","Sýnai",120625.4
"2020-04-17","Sýnai",122411.36
